id	Geographic Area Name	EstimateMoved; within same countyPopulation 1 year and over	"EstimateMoved; from different county, same statePopulation 1 year and over"	EstimateMoved; from different  statePopulation 1 year and over	EstimateMoved; from abroadPopulation 1 year and over																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19060	"Cumberland, MD-WV Metro Area"	7.7	3	2.4	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19100	"Dallas-Fort Worth-Arlington, TX Metro Area"	9.2	3.9	2.2	0.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19140	"Dalton, GA Metro Area"	4.9	2.2	1.6	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19180	"Danville, IL Metro Area"	8.5	2.3	1.1	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19220	"Danville, KY Micro Area"	8.9	6.4	2.1	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19260	"Danville, VA Micro Area"	7.3	2.8	1.9	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19300	"Daphne-Fairhope-Foley, AL Metro Area"	6	2.3	2.9	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19340	"Davenport-Moline-Rock Island, IA-IL Metro Area"	7.6	1.8	2.5	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19380	"Dayton, OH Metro Area"	10.7	3.8	2.5	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19420	"Dayton, TN Micro Area"	10	4.1	1.7	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19460	"Decatur, AL Metro Area"	7.4	2.9	1.4	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19500	"Decatur, IL Metro Area"	12.2	2.9	1.3	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19540	"Decatur, IN Micro Area"	8.7	2.4	2.1	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19580	"Defiance, OH Micro Area"	7.4	4.1	1.4	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19620	"Del Rio, TX Micro Area"	7	2.5	2.2	1.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19660	"Deltona-Daytona Beach-Ormond Beach, FL Metro Area"	6.5	3.1	3.2	0.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19700	"Deming, NM Micro Area"	9.7	3.1	2.8	0.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19740	"Denver-Aurora-Lakewood, CO Metro Area"	7.4	6	3.6	0.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19760	"DeRidder, LA Micro Area"	4.9	5.2	2.5	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19780	"Des Moines-West Des Moines, IA Metro Area"	10.5	4.4	2.6	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19820	"Detroit-Warren-Dearborn, MI Metro Area"	8.2	2.8	1.1	0.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19860	"Dickinson, ND Micro Area"	8.4	2.7	5.6	1.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19940	"Dixon, IL Micro Area"	6.1	7	1	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US19980	"Dodge City, KS Micro Area"	7.7	4.8	1.9	0.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20020	"Dothan, AL Metro Area"	7.2	2.2	2.4	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20060	"Douglas, GA Micro Area"	4.9	3.3	1.3	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20100	"Dover, DE Metro Area"	8.1	2.1	4.1	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20140	"Dublin, GA Micro Area"	7.7	2.6	2	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20180	"DuBois, PA Micro Area"	5.2	3.5	0.8	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20220	"Dubuque, IA Metro Area"	8.9	1.8	4.3	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20260	"Duluth, MN-WI Metro Area"	9.4	3.6	2.4	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20300	"Dumas, TX Micro Area"	9.8	1.8	0.6	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20340	"Duncan, OK Micro Area"	9.5	2.9	2	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20380	"Dunn, NC Micro Area"	5.9	5.7	4.7	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20420	"Durango, CO Micro Area"	7.7	2.7	4.9	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20460	"Durant, OK Micro Area"	10.7	2	4.8	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20500	"Durham-Chapel Hill, NC Metro Area"	8.9	5.1	3.8	1.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20540	"Dyersburg, TN Micro Area"	11.6	2.6	1.1	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20580	"Eagle Pass, TX Micro Area"	7.3	2.5	0.4	1.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20660	"Easton, MD Micro Area"	6.9	3.5	3.2	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20700	"East Stroudsburg, PA Metro Area"	4.5	2.5	2.8	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20740	"Eau Claire, WI Metro Area"	9.4	5.6	2.1	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20780	"Edwards, CO Micro Area"	6.1	3.6	2.6	0.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20820	"Effingham, IL Micro Area"	7.3	3.5	1.5	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20900	"El Campo, TX Micro Area"	6	3.2	0.2	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20940	"El Centro, CA Metro Area"	9	2.3	0.8	0.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US20980	"El Dorado, AR Micro Area"	5.8	1.9	1.9	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21020	"Elizabeth City, NC Micro Area"	4.1	3.8	3.3	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21060	"Elizabethtown-Fort Knox, KY Metro Area"	8.5	4.6	5.7	0.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21120	"Elk City, OK Micro Area"	6	6.9	1.9	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21140	"Elkhart-Goshen, IN Metro Area"	7.7	2.2	1.6	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21180	"Elkins, WV Micro Area"	5.9	4.3	1.3	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21220	"Elko, NV Micro Area"	10.3	2.2	3.4	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21260	"Ellensburg, WA Micro Area"	11.7	12.8	3.2	0.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21300	"Elmira, NY Metro Area"	7.5	2.7	1.1	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21340	"El Paso, TX Metro Area"	9.6	1.2	2.7	1.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21380	"Emporia, KS Micro Area"	15.1	5.5	2.5	0.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21420	"Enid, OK Metro Area"	9.8	3.1	3.7	0.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21460	"Enterprise, AL Micro Area"	7.4	4.6	4.5	0.9																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21500	"Erie, PA Metro Area"	10.6	2.1	2.1	0.5																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21540	"Escanaba, MI Micro Area"	7.2	2.5	1.3	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21580	"Espa???ola, NM Micro Area"																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																											
310M400US21640	"Eufaula, AL-GA Micro Area"	9.6	3.3	2.1	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21660	"Eugene, OR Metro Area"	13.7	2.8	4	0.6																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21700	"Eureka-Arcata-Fortuna, CA Micro Area"	12.3	4.5	2.1	0.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21740	"Evanston, WY Micro Area"	9.3	1.6	2.5	0																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21780	"Evansville, IN-KY Metro Area"	9.4	3.4	2.4	0.2																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21820	"Fairbanks, AK Metro Area"	11.6	2	7.2	0.8																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21840	"Fairfield, IA Micro Area"	8.2	5.3	2.4	2.3																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21860	"Fairmont, MN Micro Area"	6.1	3.1	2.8	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21900	"Fairmont, WV Micro Area"	7.5	4.2	2.2	0.1																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US21980	"Fallon, NV Micro Area"	8.5	3.3	5.9	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US22020	"Fargo, ND-MN Metro Area"	11.8	3	6.5	0.4																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
310M400US22060	"Faribault-Northfield, MN Micro Area"	4.6	6.3	2.8	0.7																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																							
