"GEO_ID","NAME","B01001E_001E","B01001E_001M","B01001E_002E","B01001E_002M","B01001E_003E","B01001E_003M","B01001E_004E","B01001E_004M","B01001E_005E","B01001E_005M","B01001E_006E","B01001E_006M","B01001E_007E","B01001E_007M","B01001E_008E","B01001E_008M","B01001E_009E","B01001E_009M","B01001E_010E","B01001E_010M","B01001E_011E","B01001E_011M","B01001E_012E","B01001E_012M","B01001E_013E","B01001E_013M","B01001E_014E","B01001E_014M","B01001E_015E","B01001E_015M","B01001E_016E","B01001E_016M","B01001E_017E","B01001E_017M","B01001E_018E","B01001E_018M","B01001E_019E","B01001E_019M","B01001E_020E","B01001E_020M","B01001E_021E","B01001E_021M","B01001E_022E","B01001E_022M","B01001E_023E","B01001E_023M","B01001E_024E","B01001E_024M","B01001E_025E","B01001E_025M","B01001E_026E","B01001E_026M","B01001E_027E","B01001E_027M","B01001E_028E","B01001E_028M","B01001E_029E","B01001E_029M","B01001E_030E","B01001E_030M","B01001E_031E","B01001E_031M"
"310M400US27100","Jackson, MI Metro Area","41","38","8","14","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","8","14","0","23","0","23","0","23","33","36","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","10","16","0","23","0","23","0","23","0","23","23","32"
"310M400US27140","Jackson, MS Metro Area","101","81","9","13","0","30","0","30","0","30","0","30","7","12","0","30","0","30","0","30","0","30","0","30","0","30","0","30","2","4","0","30","92","85","0","30","0","30","0","30","0","30","5","9","0","30","0","30","39","56","0","30","7","12","41","64","0","30","0","30","0","30"
"310M400US27160","Jackson, OH Micro Area","29","42","29","42","0","24","0","24","0","24","0","24","0","24","0","24","29","42","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24"
"310M400US27180","Jackson, TN Metro Area","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29"
"310M400US27220","Jackson, WY-ID Micro Area","35","60","35","60","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","35","60","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24"
"310M400US27260","Jacksonville, FL Metro Area","971","255","495","152","23","36","32","38","53","52","0","31","4","10","47","46","35","57","0","31","195","119","33","35","33","34","40","39","0","31","0","31","476","153","15","25","66","62","39","39","59","55","0","31","0","31","114","71","16","27","69","67","50","51","24","32","24","29","0","31","0","31"
"310M400US27300","Jacksonville, IL Micro Area","11","13","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","11","13","0","23","0","23","0","23","1","3","0","23","0","23","10","13","0","23","0","23","0","23","0","23","0","23","0","23","0","23"
"310M400US27340","Jacksonville, NC Metro Area","402","179","158","90","0","29","0","29","0","29","0","29","0","29","124","69","26","39","0","29","0","29","8","15","0","29","0","29","0","29","0","29","244","176","0","29","0","29","11","21","0","29","0","29","10","21","0","29","0","29","0","29","160","179","51","87","12","22","0","29","0","29"
"310M400US27380","Jacksonville, TX Micro Area","43","59","37","57","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","37","57","0","31","0","31","0","31","0","31","0","31","6","11","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","6","11","0","31","0","31","0","31","0","31"
"310M400US27420","Jamestown, ND Micro Area","13","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","13","17","0","17","0","17","13","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17"
"310M400US27460","Jamestown-Dunkirk-Fredonia, NY Micro Area","68","50","31","31","0","28","0","28","0","28","0","28","13","18","0","28","3","7","0","28","0","28","15","23","0","28","0","28","0","28","0","28","37","32","0","28","0","28","0","28","0","28","0","28","22","22","5","10","0","28","0","28","0","28","0","28","10","16","0","28","0","28"
"310M400US27500","Janesville-Beloit, WI Metro Area","28","33","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","28","33","0","20","0","20","0","20","0","20","0","20","0","20","0","20","19","30","0","20","0","20","9","12","0","20","0","20","0","20"
"310M400US27540","Jasper, IN Micro Area","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27","0","27"
"310M400US27580","Jayuya, PR Micro Area","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21"
"310M400US27600","Jefferson, GA Micro Area","8","12","8","12","0","31","0","31","3","5","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","5","10","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31"
"310M400US27620","Jefferson City, MO Metro Area","239","260","176","196","71","77","48","66","0","26","3","5","0","26","0","26","0","26","0","26","5","7","49","63","0","26","0","26","0","26","0","26","63","69","0","26","3","5","0","26","0","26","0","26","0","26","0","26","48","65","0","26","0","26","0","26","0","26","12","20","0","26"
"310M400US27660","Jennings, LA Micro Area","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26"
"310M400US27700","Jesup, GA Micro Area","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25"
"310M400US27740","Johnson City, TN Metro Area","5","11","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","5","11","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","5","11","0","29","0","29"
"310M400US27780","Johnstown, PA Metro Area","40","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","40","24","0","24","0","24","0","24","0","24","20","21","0","24","0","24","0","24","0","24","4","7","16","17","0","24","0","24","0","24"
"310M400US27860","Jonesboro, AR Metro Area","200","267","71","94","0","28","0","28","0","28","0","28","0","28","6","11","65","93","0","28","0","28","0","28","0","28","0","28","0","28","0","28","129","176","47","65","0","28","0","28","0","28","0","28","0","28","82","112","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"310M400US27900","Joplin, MO Metro Area","689","153","366","118","83","137","60","56","19","44","0","26","55","33","52","21","35","61","2","4","22","25","32","50","3","7","3","5","0","26","0","26","323","155","48","88","51","47","0","26","21","36","0","26","9","33","26","31","15","21","81","77","31","51","41","70","0","26","0","26","0","26"
"310M400US27920","Junction City, KS Micro Area","318","20","159","35","4","8","24","16","10","11","27","25","0","22","0","22","0","22","32","37","28","24","2","3","32","39","0","22","0","22","0","22","159","33","2","4","41","12","9","11","0","22","0","22","34","39","0","22","11","21","53","34","0","22","9","11","0","22","0","22","0","22"
"310M400US27940","Juneau, AK Micro Area","320","84","260","95","3","7","4","6","4","7","5","8","0","20","104","65","1","3","0","20","25","37","13","22","101","92","0","20","0","20","0","20","60","56","0","20","4","9","0","20","7","12","0","20","6","10","11","14","0","20","0","20","0","20","0","20","6","11","26","47","0","20"
"310M400US27980","Kahului-Wailuku-Lahaina, HI Metro Area","18291","769","9166","384","607","134","850","138","765","159","377","66","327","88","607","121","623","109","741","102","1212","135","1122","132","1016","82","631","72","237","69","51","40","9125","556","751","214","697","182","912","172","435","105","252","47","479","137","663","89","659","76","1145","130","1099","123","995","96","588","91","355","85","95","66"
"310M400US19860","Dickinson, ND Micro Area","7","10","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","7","10","0","20","0","20","0","20","0","20","0","20","7","10","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20"
"310M400US19940","Dixon, IL Micro Area","62","61","32","51","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","32","51","0","23","0","23","0","23","0","23","30","27","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","30","27","0","23","0","23","0","23","0","23","0","23"
"310M400US19980","Dodge City, KS Micro Area","18","37","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","18","37","0","22","0","22","0","22","0","22","0","22","0","22","0","22","18","37","0","22","0","22","0","22","0","22","0","22","0","22"
"310M400US20020","Dothan, AL Metro Area","22","28","18","22","0","28","9","15","5","7","0","28","4","7","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","4","6","0","28","0","28","0","28","0","28","0","28","0","28","0","28","4","6","0","28","0","28","0","28","0","28","0","28","0","28"
"310M400US20060","Douglas, GA Micro Area","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"310M400US20100","Dover, DE Metro Area","59","51","28","29","0","27","0","27","0","27","0","27","6","14","0","27","2","4","20","25","0","27","0","27","0","27","0","27","0","27","0","27","31","38","0","27","0","27","0","27","0","27","0","27","25","34","0","27","0","27","0","27","0","27","6","10","0","27","0","27","0","27"
"310M400US20140","Dublin, GA Micro Area","7","14","7","14","0","31","0","31","0","31","0","31","0","31","0","31","0","31","7","14","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31"
"310M400US20180","DuBois, PA Micro Area","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24"
"310M400US20220","Dubuque, IA Metro Area","394","30","149","37","27","30","14","18","0","22","0","22","0","22","0","22","9","13","65","43","20","25","0","22","14","21","0","22","0","22","0","22","245","43","48","27","53","44","26","19","4","7","22","27","0","22","37","26","6","9","16","28","4","8","29","20","0","22","0","22","0","22"
"310M400US20260","Duluth, MN-WI Metro Area","99","31","55","26","0","27","7","9","12","14","0","27","0","27","8","10","20","20","0","27","2","2","0","27","6","10","0","27","0","27","0","27","44","31","0","27","0","27","0","27","0","27","0","27","2","5","0","27","0","27","0","27","26","28","13","20","3","4","0","27","0","27"
"310M400US20300","Dumas, TX Micro Area","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25"
"310M400US20340","Duncan, OK Micro Area","37","30","27","26","0","20","0","20","0","20","0","20","0","20","0","20","0","20","7","14","0","20","0","20","5","9","15","20","0","20","0","20","10","14","0","20","10","14","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20"
"310M400US20380","Dunn, NC Micro Area","266","81","75","29","15","9","29","17","5","11","12","15","0","29","0","29","0","29","3","7","6","11","5","8","0","29","0","29","0","29","0","29","191","63","24","16","0","29","30","18","12","18","0","29","0","29","18","27","40","46","67","61","0","29","0","29","0","29","0","29","0","29"
"310M400US20420","Durango, CO Micro Area","13","12","4","5","0","28","4","5","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","9","11","0","28","0","28","0","28","0","28","5","9","0","28","0","28","0","28","0","28","0","28","0","28","4","6","0","28","0","28"
"310M400US20460","Durant, OK Micro Area","46","45","19","20","0","20","10","14","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","0","20","9","13","0","20","0","20","27","31","0","20","0","20","4","8","0","20","0","20","0","20","0","20","7","10","16","20","0","20","0","20","0","20","0","20","0","20"
"310M400US20500","Durham-Chapel Hill, NC Metro Area","171","64","81","56","0","29","0","29","15","30","0","29","0","29","23","22","0","29","15","26","0","29","27","33","1","2","0","29","0","29","0","29","90","51","21","27","0","29","0","29","0","29","0","29","39","29","0","29","0","29","30","30","0","29","0","29","0","29","0","29","0","29"
"310M400US20540","Dyersburg, TN Micro Area","53","66","29","47","0","26","0","26","0","26","0","26","0","26","0","26","29","47","0","26","0","26","0","26","0","26","0","26","0","26","0","26","24","37","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","0","26","24","37","0","26","0","26"
"310M400US20580","Eagle Pass, TX Micro Area","32","46","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","32","46","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","0","31","32","46","0","31"
"310M400US20660","Easton, MD Micro Area","20","33","9","14","0","25","0","25","3","5","0","25","0","25","0","25","0","25","0","25","6","10","0","25","0","25","0","25","0","25","0","25","11","19","0","25","0","25","6","10","0","25","0","25","0","25","0","25","0","25","5","10","0","25","0","25","0","25","0","25","0","25"
"310M400US20700","East Stroudsburg, PA Metro Area","61","77","7","15","0","24","0","24","0","24","0","24","7","15","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","0","24","54","76","0","24","0","24","0","24","0","24","0","24","0","24","13","24","0","24","41","72","0","24","0","24","0","24","0","24","0","24"
"310M400US20740","Eau Claire, WI Metro Area","369","355","210","211","39","52","0","20","0","20","5","7","0","20","23","36","93","97","0","20","50","67","0","20","0","20","0","20","0","20","0","20","159","150","38","51","0","20","0","20","0","20","0","20","71","67","38","46","0","20","0","20","0","20","0","20","12","21","0","20","0","20"
"310M400US20780","Edwards, CO Micro Area","43","47","25","39","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","25","39","0","28","0","28","0","28","0","28","0","28","18","27","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","18","27","0","28","0","28","0","28"
"310M400US20820","Effingham, IL Micro Area","15","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","15","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","0","23","15","23","0","23","0","23","0","23","0","23","0","23"
"310M400US20900","El Campo, TX Micro Area","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"310M400US20940","El Centro, CA Metro Area","419","191","325","174","0","29","0","29","0","29","20","31","0","29","71","73","76","82","62","86","5","8","4","7","25","45","0","29","62","87","0","29","94","72","0","29","0","29","0","29","0","29","31","49","14","23","0","29","17","27","0","29","24","30","8","14","0","29","0","29","0","29"
"310M400US20980","El Dorado, AR Micro Area","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25"
"310M400US21020","Elizabeth City, NC Micro Area","69","88","11","19","0","29","0","29","0","29","0","29","0","29","0","29","0","29","11","19","0","29","0","29","0","29","0","29","0","29","0","29","58","84","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","0","29","58","84","0","29","0","29","0","29","0","29"
"310M400US21060","Elizabethtown-Fort Knox, KY Metro Area","380","67","182","54","0","27","0","27","28","27","8","13","0","27","15","29","0","27","36","42","29","39","60","61","6","12","0","27","0","27","0","27","198","37","0","27","29","29","0","27","0","27","0","27","25","27","39","32","66","54","23","25","16","20","0","27","0","27","0","27","0","27"
"310M400US21120","Elk City, OK Micro Area","8","12","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","0","17","8","12","0","17","7","12","0","17","0","17","0","17","0","17","0","17","1","2","0","17","0","17","0","17","0","17","0","17","0","17"
"310M400US21140","Elkhart-Goshen, IN Metro Area","149","76","77","52","0","27","0","27","19","28","0","27","0","27","8","14","0","27","10","15","29","30","0","27","11","17","0","27","0","27","0","27","72","41","9","15","23","25","0","27","0","27","0","27","0","27","0","27","0","27","14","17","13","20","13","19","0","27","0","27","0","27"
"310M400US21180","Elkins, WV Micro Area","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21"
"310M400US21220","Elko, NV Micro Area","119","29","52","13","36","22","0","29","0","29","0","29","0","29","0","29","0","29","8","5","5","11","2","8","1","3","0","29","0","29","0","29","67","13","18","11","27","14","0","29","0","29","10","10","0","29","8","5","0","29","4","11","0","29","0","29","0","29","0","29","0","29"
"310M400US21260","Ellensburg, WA Micro Area","360","225","175","161","36","47","36","47","0","25","0","25","23","38","0","25","25","32","44","64","0","25","0","25","0","25","0","25","11","24","0","25","185","110","0","25","0","25","0","25","0","25","54","76","82","91","0","25","0","25","32","46","0","25","8","13","9","15","0","25","0","25"
"310M400US21300","Elmira, NY Metro Area","10","12","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","10","12","0","28","0","28","0","28","4","8","0","28","0","28","0","28","0","28","0","28","0","28","0","28","6","9","0","28","0","28"
"310M400US21340","El Paso, TX Metro Area","1178","285","743","230","217","248","38","70","61","78","39","70","81","78","66","77","110","119","14","21","45","45","72","68","0","31","0","31","0","31","0","31","435","122","20","33","0","31","0","31","0","31","38","52","44","52","17","31","115","128","54","47","86","65","48","56","13","24","0","31","0","31"
"310M400US21380","Emporia, KS Micro Area","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22","0","22"
"310M400US21420","Enid, OK Metro Area","609","439","313","228","26","37","34","65","20","75","0","22","0","22","58","52","106","87","3","34","0","22","60","76","6","9","0","22","0","22","0","22","296","250","33","49","35","64","0","22","6","70","11","16","31","41","30","50","41","67","10","108","96","127","0","22","3","33","0","22","0","22"
"310M400US21460","Enterprise, AL Micro Area","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28","0","28"
"310M400US21500","Erie, PA Metro Area","68","46","40","30","0","24","0","24","0","24","0","24","7","12","0","24","1","2","1","4","0","24","15","19","11","17","5","9","0","24","0","24","28","24","2","4","0","24","0","24","0","24","0","24","4","9","0","24","6","13","0","24","16","16","0","24","0","24","0","24","0","24"
"310M400US21540","Escanaba, MI Micro Area","7","9","1","2","0","21","0","21","0","21","0","21","0","21","0","21","1","2","0","21","0","21","0","21","0","21","0","21","0","21","0","21","6","10","0","21","0","21","4","9","0","21","0","21","0","21","0","21","0","21","0","21","0","21","2","2","0","21","0","21","0","21"
"310M400US21580","Espa�ola, NM Micro Area","5","7","2","2","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","2","2","0","25","0","25","0","25","0","25","3","6","0","25","0","25","0","25","0","25","3","6","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25","0","25"
"310M400US21640","Eufaula, AL-GA Micro Area","6","8","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","0","21","6","8","0","21","0","21","0","21","0","21","0","21","0","21","5","8","0","21","0","21","0","21","1","3","0","21","0","21","0","21"
"310M400US21660","Eugene, OR Metro Area","911","162","435","100","36","30","55","47","0","28","0","28","16","21","45","48","62","47","60","47","111","42","11","12","34","28","5","9","0","28","0","28","476","105","9","13","56","33","29","29","17","22","9","16","127","67","0","28","75","45","30","41","62","65","53","37","9","16","0","28","0","28"
"310M400US21700","Eureka-Arcata-Fortuna, CA Micro Area","436","172","253","151","0","29","0","29","0","29","7","11","38","60","71","111","0","29","0","29","106","114","3","10","0","29","28","36","0","29","0","29","183","115","0","29","0","29","7","11","0","29","0","29","0","29","119","115","0","29","0","29","1","3","29","36","27","42","0","29","0","29"
